raw,binomial,common,group,family,domestic
Little_gull,Hydrocoloeus minutus,little gull,Charadriiformes,,
little_owl,Athene noctua,little owl,Strigiformes,,
long-eared_owl,Asio otus,long-eared owl,Strigiformes,,
long-tailed_duck,Clangula hyemalis,long-tailed duck,Anseriformes,,
long-tailed_skua,Stercorarius longicaudus,long-tailed skua,Charadriiformes,,
Luscinia_cyane,Larvivora cyane,Siberian blue robin,Passeriformes,,
M_Swan,Cygnus olor,mute swan,Anseriformes,,
Magpie,Pica sp.,magpie,Passeriformes,,
magpie,Pica sp.,magpie,Passeriformes,,
Mal,,,,,
Mallard,Anas platyrhynchos,mallard,Anseriformes,,
mallard,Anas platyrhynchos,mallard,Anseriformes,,
Mallard_duck,Anas platyrhynchos,mallard,Anseriformes,,
Mallard_Duck,Anas platyrhynchos,mallard,Anseriformes,,
mallard_duck,Anas platyrhynchos,mallard,Anseriformes,,
mallard_x_black_duck,Anas platyrhynchos,mallard,Anseriformes,,
Mallard(Anas_platyrhynchos),Anas platyrhynchos,mallard,Anseriformes,,
mallardduck,Anas platyrhynchos,mallard,Anseriformes,,
Mandarin_duck,Aix galericulata,mandarin duck,Anseriformes,,
mandarin_duck,Aix galericulata,mandarin duck,Anseriformes,,
Meleagris_gallopavo,Meleagris gallopavo,wild turkey,Galliformes,,n
Mew_Gull,Larus canus,common gull,Charadriiformes,,
migratory_waterfowl,,waterfowl,Anseriformes,,
mink,,mink,Carnivora,Mustelidae,
Mink,,mink,Carnivora,Mustelidae,
